avg_key_hold_time,avg_inter_key_delay,total_backspaces,typing_speed_cpm,long_pauses,needs_assistance
0.16490142459033696,0.26788936801741414,2,303.8549366991689,0,0
0.14585207096486447,0.2780392263184117,0,247.7647706040648,0,0
0.16943065614302077,0.30415256215876385,4,266.99020391557065,1,1
0.19569089569224074,0.30269010260174517,6,274.95454528315787,4,1
0.14297539875829993,0.18111653160214544,5,197.61515324016426,0,1
0.14297589129152458,0.20310874800424386,0,328.5009983980478,0,0
0.19737638446522174,0.275751763360433,4,237.0762283623215,2,0
0.17302304187458725,0.27568929754561045,4,264.83699806427455,3,0
0.13591576842195144,0.2757523843153024,5,269.21746020847456,1,0
0.16627680130757894,0.4426365745327361,2,225.55647616029108,1,1
0.13609746921562613,0.27854452553465836,4,305.4094099434281,4,0
0.13602810739289228,0.30677828200902996,6,257.97865808063295,4,1
0.157258868146981,0.2977000881746601,4,243.59582089277998,1,0
0.09260159266026606,0.2825695625652899,4,254.15523887165327,4,0
0.09825246502460902,0.23423653776798273,4,272.9275659582707,2,0
0.13313137412277082,0.28794846102466337,9,250.323944944291,1,1
0.11961506638996729,0.2113587392731214,9,276.45789731149716,4,1
0.1594274199778582,0.23815906966299955,2,199.45383583096782,1,1
0.12275927773436367,0.22573182260854482,0,227.56090030520528,3,0
0.10763088895994125,0.2540937069693161,4,185.83599055572054,0,1
0.19396946306764662,0.36573292833367543,8,309.9102447052884,1,1
0.14322671098540393,0.15663674037041259,0,309.519763830548,0,0
0.15202584614063772,0.2843130095187257,2,268.79848202598953,4,0
0.1072575544135963,0.16936420644051742,3,219.62145787260906,0,1
0.13366851826424453,0.22640340671052833,0,321.6963481665497,1,0
0.153327677691296,0.3044475298483683,0,231.86756565604864,3,1
0.11547019267733091,0.25321400095477314,7,243.60378619284506,4,1
0.16127094055037014,0.1961127611035347,1,254.78600217192167,1,0
0.13198083930243584,0.21423481453700158,7,263.5454782605691,4,1
0.1412491875062017,0.2839798874467338,6,269.31407805112957,2,1
0.1319488016331181,0.21348166841414318,9,270.51884912423355,0,1
0.20556834553526812,0.26082292947909874,9,245.66427743938286,2,1
0.14959508325786197,0.2522785919951907,1,270.04302855270134,1,0
0.11826867213132299,0.21741998261970913,5,244.32377021512968,3,0
0.17467634736309567,0.3571972044662663,5,267.3791031061666,4,1
0.11337469050086932,0.28169595111590057,2,264.9187533349233,0,0
0.15626590785014266,0.14874287066711964,1,272.88541872394364,4,0
0.09120989628360673,0.2593227157384714,0,269.13900097062896,1,0
0.11015441853304708,0.2169106767615806,5,236.72702875266108,4,0
0.1559058370760737,0.2926216667398112,4,263.7613051467704,0,0
0.1721539973998623,0.21037396307836498,8,269.6019921374466,1,1
0.15514104843569912,0.24426317792665506,0,211.2662683315388,4,1
